tumor_sample,closest_fetal_profile,distance,stage,tissue,cluster
TCGA-FD-A5BV-01,7 week post conception | kidney,0.66639686313877,7 week post conception,kidney,0
TCGA-DX-A8BM-01,5 week post conception | forebrain,0.7593512940354717,5 week post conception,forebrain,2
TCGA-DE-A3KN-01,infant | testis,0.44252739752423786,infant,testis,1
TCGA-EJ-5519-01,11 week post conception | hindbrain,0.574606054115544,11 week post conception,hindbrain,1
TCGA-BP-4160-01,16 week post conception | heart,0.5249204584401901,16 week post conception,heart,1
TCGA-AJ-A3EJ-01,4 week post conception | kidney,0.6834969151914532,4 week post conception,kidney,0
TCGA-CV-5434-01,4 week post conception | forebrain,0.7055504360213842,4 week post conception,forebrain,2
TCGA-NG-A4VW-01,5 week post conception | forebrain,0.6870763482270146,5 week post conception,forebrain,2
TCGA-KQ-A41Q-01,4 week post conception | forebrain,0.6871251565604383,4 week post conception,forebrain,0
TCGA-IB-A7M4-01,6 week post conception | liver,0.7370339076717136,6 week post conception,liver,0
TCGA-RC-A7S9-01,6 week post conception | liver,0.5234073566115759,6 week post conception,liver,3
TCGA-HE-A5NH-01,19 week post conception | kidney,0.5480406958106435,19 week post conception,kidney,1
TCGA-CJ-5684-01,19 week post conception | kidney,0.574833212189301,19 week post conception,kidney,1
TCGA-QR-A6H5-01,11 week post conception | hindbrain,0.5126411456417679,11 week post conception,hindbrain,1
TCGA-IZ-A6M9-01,infant | testis,0.5057719250127379,infant,testis,1
TCGA-DB-A64O-01,neonate | forebrain,0.4725322330208367,neonate,forebrain,1
TCGA-04-1517-01,4 week post conception | forebrain,0.7846313650938055,4 week post conception,forebrain,0
TCGA-HU-A4H4-01,7 week post conception | liver,0.6162155796054687,7 week post conception,liver,0
TCGA-CR-7390-01,4 week post conception | hindbrain,0.6004048908200174,4 week post conception,hindbrain,2
TCGA-CE-A481-01,infant | testis,0.48395562800338343,infant,testis,1
TCGA-EL-A3CR-01,infant | testis,0.5160460518546305,infant,testis,1
TCGA-92-7340-01,19 week post conception | liver,0.7046489160874143,19 week post conception,liver,0
TCGA-CM-6168-01,4 week post conception | hindbrain,0.670148435405105,4 week post conception,hindbrain,2
TCGA-CR-7383-01,10 week post conception | liver,0.6556955388714466,10 week post conception,liver,0
TCGA-60-2726-01,8 week post conception | liver,0.5937636717890962,8 week post conception,liver,0
TCGA-XU-A92X-01,9 week post conception | ovary,0.5521732414047809,9 week post conception,ovary,0
TCGA-CN-5369-01,12 week post conception | liver,0.6318371301677397,12 week post conception,liver,0
TCGA-CV-A45O-01,infant | forebrain,0.7994103150507791,infant,forebrain,3
TCGA-A2-A1G6-01,toddler | testis,0.532839269440381,toddler,testis,1
TCGA-2Y-A9H2-01,toddler | kidney,0.8152148838895004,toddler,kidney,0
TCGA-JL-A3YX-01,9 week post conception | ovary,0.7783630365920206,9 week post conception,ovary,2
TCGA-B0-5088-01,infant | testis,0.5404036355983374,infant,testis,1
TCGA-B6-A0RO-01,19 week post conception | kidney,0.7180165395371179,19 week post conception,kidney,1
TCGA-EB-A430-01,4 week post conception | kidney,0.721021743693923,4 week post conception,kidney,0
TCGA-49-4512-01,toddler | kidney,0.6876856788753447,toddler,kidney,0
TCGA-56-6546-01,4 week post conception | hindbrain,0.5135737032629665,4 week post conception,hindbrain,0
TCGA-CN-6992-01,5 week post conception | forebrain,0.6602473920901577,5 week post conception,forebrain,2
TCGA-YS-A95C-01,16 week post conception | testis,0.7942446786405418,16 week post conception,testis,1
TCGA-02-2483-01,9 week post conception | forebrain,0.5403560270645036,9 week post conception,forebrain,2
TCGA-QR-A70U-01,11 week post conception | hindbrain,0.5917709400758314,11 week post conception,hindbrain,1
TCGA-CV-5443-01,5 week post conception | forebrain,0.5442883789651787,5 week post conception,forebrain,0
TCGA-SR-A6MU-01,neonate | forebrain,0.6070621534674858,neonate,forebrain,3
TCGA-KK-A8IL-01,infant | testis,0.5499653424524464,infant,testis,1
TCGA-55-7726-01,9 week post conception | kidney,0.5989265685215059,9 week post conception,kidney,2
TCGA-BH-A0H9-01,12 week post conception | forebrain,0.7341386493222204,12 week post conception,forebrain,2
TCGA-86-8278-01,12 week post conception | kidney,0.6812103104754209,12 week post conception,kidney,2
TCGA-HC-7738-01,13 week post conception | hindbrain,0.6845865025190867,13 week post conception,hindbrain,1
TCGA-DJ-A3UM-01,infant | testis,0.4891965885923393,infant,testis,1
TCGA-FU-A3WB-01,5 week post conception | forebrain,0.5093809566363638,5 week post conception,forebrain,2
TCGA-FG-8187-01,11 week post conception | hindbrain,0.4527034882595241,11 week post conception,hindbrain,1
TCGA-25-1317-01,8 week post conception | kidney,0.8037924866322743,8 week post conception,kidney,0
TCGA-GU-A42P-01,7 week post conception | kidney,0.6305071589683078,7 week post conception,kidney,2
TCGA-CK-5912-01,9 week post conception | kidney,0.643123155227856,9 week post conception,kidney,2
TCGA-X6-A8C7-01,6 week post conception | ovary,0.5892393436366393,6 week post conception,ovary,2
TCGA-BR-4294-01,12 week post conception | hindbrain,0.7046625512438737,12 week post conception,hindbrain,3
TCGA-XF-A9SI-01,13 week post conception | liver,0.7095889167330951,13 week post conception,liver,2
TCGA-DD-A11C-01,19 week post conception | liver,0.6842271833576246,19 week post conception,liver,3
TCGA-KL-8343-01,12 week post conception | hindbrain,0.6030145058159746,12 week post conception,hindbrain,1
TCGA-A2-A1G1-01,16 week post conception | kidney,0.5109080450852803,16 week post conception,kidney,2
TCGA-SG-A6Z4-01,5 week post conception | forebrain,0.6635716769678501,5 week post conception,forebrain,2
TCGA-CH-5741-01,19 week post conception | kidney,0.6562070065544042,19 week post conception,kidney,1
TCGA-85-A4QR-01,7 week post conception | kidney,0.5937659129351849,7 week post conception,kidney,2
TCGA-AK-3455-01,infant | testis,0.592515325466181,infant,testis,1
TCGA-JW-A5VK-01,9 week post conception | liver,0.5459183730650328,9 week post conception,liver,0
TCGA-NF-A4WX-01,4 week post conception | kidney,0.6027538152133294,4 week post conception,kidney,2
TCGA-85-A510-01,5 week post conception | forebrain,0.5651605298181726,5 week post conception,forebrain,2
TCGA-DD-AADV-01,middle adult | liver,0.6705163643296606,middle adult,liver,0
TCGA-06-0190-01,neonate | forebrain,0.7287085985228907,neonate,forebrain,2
TCGA-A2-A04N-01,19 week post conception | kidney,0.705405432745294,19 week post conception,kidney,2
TCGA-JU-AAVI-01,9 week post conception | liver,0.5763297021474694,9 week post conception,liver,0
TCGA-CC-5258-01,4 week post conception | hindbrain,0.5971350042786738,4 week post conception,hindbrain,0
TCGA-TM-A84T-01,11 week post conception | hindbrain,0.44437878071862735,11 week post conception,hindbrain,1
TCGA-GL-A4EM-01,toddler | kidney,0.5799350180083139,toddler,kidney,3
TCGA-55-6543-01,toddler | testis,0.6065548889212881,toddler,testis,1
TCGA-V1-A9OF-01,infant | testis,0.6640187256833905,infant,testis,1
TCGA-13-1485-01,19 week post conception | testis,0.7844522487243633,19 week post conception,testis,0
TCGA-AK-3460-01,toddler | testis,0.5576296679922763,toddler,testis,1
TCGA-AC-A3TM-01,8 week post conception | testis,0.5289491381405974,8 week post conception,testis,0
TCGA-CV-A45Y-01,8 week post conception | liver,0.692824126396206,8 week post conception,liver,0
TCGA-A3-3308-01,16 week post conception | testis,0.5859624127123519,16 week post conception,testis,1
TCGA-A2-A0CP-01,infant | testis,0.5550724983004798,infant,testis,1
TCGA-E9-A3HO-01,8 week post conception | liver,0.6634701785355883,8 week post conception,liver,0
TCGA-37-A5EL-01,8 week post conception | kidney,0.773311303527664,8 week post conception,kidney,2
TCGA-5X-AA5U-01,4 week post conception | testis,0.5511458287741076,4 week post conception,testis,2
TCGA-D8-A1XS-01,16 week post conception | kidney,0.5127080187975916,16 week post conception,kidney,2
TCGA-CZ-5465-01,19 week post conception | kidney,0.5423028545570331,19 week post conception,kidney,1
TCGA-CH-5767-01,13 week post conception | hindbrain,0.6679779634485626,13 week post conception,hindbrain,1
TCGA-ER-A19T-01,4 week post conception | hindbrain,0.6741592103168597,4 week post conception,hindbrain,2
TCGA-CN-4738-01,4 week post conception | heart,0.7668998622610675,4 week post conception,heart,2
TCGA-VB-A8QN-01,10 week post conception | liver,0.5236648127079182,10 week post conception,liver,0
TCGA-CK-4951-01,7 week post conception | liver,0.6179823890408616,7 week post conception,liver,2
TCGA-2Z-A9J3-01,toddler | kidney,0.7409516823305337,toddler,kidney,0
TCGA-RD-A7BS-01,school age child | kidney,0.5032957126746508,school age child,kidney,0
TCGA-AC-A23E-01,16 week post conception | kidney,0.5141954017569146,16 week post conception,kidney,2
TCGA-DX-A6YX-01,4 week post conception | hindbrain,0.6095986688444639,4 week post conception,hindbrain,2
TCGA-3A-A9IN-01,neonate | forebrain,0.57880707727277,neonate,forebrain,1
TCGA-2G-AAGV-01,19 week post conception | testis,0.6446130601588775,19 week post conception,testis,1
TCGA-CW-6097-01,16 week post conception | heart,0.5321718728941165,16 week post conception,heart,2
TCGA-CV-7263-01,5 week post conception | forebrain,0.7239051903468865,5 week post conception,forebrain,2
TCGA-G2-A2EJ-01,5 week post conception | forebrain,0.7003507666053779,5 week post conception,forebrain,2
TCGA-M8-A5N4-01,19 week post conception | testis,0.6466092689856044,19 week post conception,testis,0
TCGA-A6-5666-01,5 week post conception | forebrain,0.6070511806368644,5 week post conception,forebrain,0
TCGA-FY-A4B4-01,infant | testis,0.540856230741414,infant,testis,1
TCGA-76-4929-01,11 week post conception | hindbrain,0.6167609360184767,11 week post conception,hindbrain,2
TCGA-S9-A7QX-01,11 week post conception | hindbrain,0.5533333554910749,11 week post conception,hindbrain,1
TCGA-66-2737-01,5 week post conception | forebrain,0.6769266787737745,5 week post conception,forebrain,2
TCGA-A8-A0A2-01,16 week post conception | kidney,0.6341940890936799,16 week post conception,kidney,2
TCGA-4Z-AA80-01,5 week post conception | forebrain,0.6024568423199985,5 week post conception,forebrain,2
TCGA-A2-A1FW-01,7 week post conception | hindbrain,0.5872967358935208,7 week post conception,hindbrain,2
TCGA-58-8388-01,4 week post conception | testis,0.6258880041746833,4 week post conception,testis,2
TCGA-HT-7478-01,13 week post conception | hindbrain,0.4629701397656196,13 week post conception,hindbrain,1
TCGA-E8-A416-01,infant | testis,0.47192749382533816,infant,testis,1
TCGA-ED-A8O5-01,middle adult | liver,0.7399594152939526,middle adult,liver,3
TCGA-EQ-A4SO-01,7 week post conception | liver,0.7434348390733138,7 week post conception,liver,0
TCGA-QH-A6X3-01,10 week post conception | hindbrain,0.5029403307025694,10 week post conception,hindbrain,1
TCGA-FB-A78T-01,neonate | kidney,0.6177520482558262,neonate,kidney,1
TCGA-D7-6527-01,7 week post conception | liver,0.6371332495694717,7 week post conception,liver,0
TCGA-DQ-7591-01,5 week post conception | forebrain,0.5466453291004378,5 week post conception,forebrain,2
TCGA-BH-A18N-01,6 week post conception | ovary,0.6679803958182517,6 week post conception,ovary,2
TCGA-86-8075-01,16 week post conception | heart,0.7205603419533007,16 week post conception,heart,2
TCGA-A1-A0SN-01,16 week post conception | kidney,0.7040599466422449,16 week post conception,kidney,2
TCGA-21-5787-01,10 week post conception | liver,0.5961034774121583,10 week post conception,liver,0
TCGA-98-A539-01,4 week post conception | forebrain,0.72061134262943,4 week post conception,forebrain,0
TCGA-ET-A39P-01,infant | testis,0.5768719736384424,infant,testis,1
TCGA-P3-A6SX-01,4 week post conception | forebrain,0.7103381901171064,4 week post conception,forebrain,0
TCGA-A6-6780-01,4 week post conception | hindbrain,0.5522115848089924,4 week post conception,hindbrain,0
TCGA-J4-A67S-01,infant | testis,0.5317752860838225,infant,testis,1
TCGA-VQ-A91K-01,7 week post conception | liver,0.7916173709998127,7 week post conception,liver,2
TCGA-41-4097-01,16 week post conception | hindbrain,0.5500435372763511,16 week post conception,hindbrain,1
TCGA-2Z-A9JM-01,infant | testis,0.5377765938838358,infant,testis,1
TCGA-CV-A6JZ-01,10 week post conception | liver,0.5887094978951775,10 week post conception,liver,0
TCGA-EB-A51B-01,7 week post conception | forebrain,0.6959681290693746,7 week post conception,forebrain,2
TCGA-DW-5561-01,infant | testis,0.6060112693304618,infant,testis,1
TCGA-CV-7178-01,7 week post conception | liver,0.6993224113004917,7 week post conception,liver,2
TCGA-BQ-5894-01,4 week post conception | kidney,0.7885767758443971,4 week post conception,kidney,2
TCGA-VS-A94W-01,7 week post conception | kidney,0.5908235079098255,7 week post conception,kidney,2
TCGA-18-3416-01,5 week post conception | forebrain,0.557550602228565,5 week post conception,forebrain,2
TCGA-BT-A20N-01,5 week post conception | forebrain,0.5955204442322951,5 week post conception,forebrain,2
TCGA-DX-AB2F-01,5 week post conception | testis,0.8082708410838741,5 week post conception,testis,0
TCGA-F4-6703-01,5 week post conception | heart,0.6081272697853107,5 week post conception,heart,0
TCGA-69-7974-01,5 week post conception | heart,0.7301966153775139,5 week post conception,heart,2
TCGA-24-1422-01,16 week post conception | kidney,0.7853695732281069,16 week post conception,kidney,0
TCGA-A7-A3J0-01,11 week post conception | hindbrain,0.6989161925749978,11 week post conception,hindbrain,2
TCGA-GR-7353-01,9 week post conception | liver,0.5433510929074494,9 week post conception,liver,0
TCGA-IE-A4EK-01,16 week post conception | heart,0.6859206317558526,16 week post conception,heart,1
TCGA-EL-A3ZQ-01,infant | testis,0.5936578754704984,infant,testis,3
TCGA-ET-A40S-01,infant | testis,0.474675651248457,infant,testis,1
TCGA-DD-AA3A-01,8 week post conception | testis,0.7916707540298182,8 week post conception,testis,0
TCGA-D8-A27P-01,16 week post conception | kidney,0.5512235773537745,16 week post conception,kidney,2
TCGA-KS-A4I9-01,infant | testis,0.5129593807757791,infant,testis,1
TCGA-29-1690-01,19 week post conception | kidney,0.7483596321111288,19 week post conception,kidney,1
TCGA-EJ-5509-01,13 week post conception | hindbrain,0.6476141246668551,13 week post conception,hindbrain,1
TCGA-SX-A7SN-01,infant | testis,0.5132447179813928,infant,testis,1
TCGA-EJ-5532-01,12 week post conception | hindbrain,0.6191115729369803,12 week post conception,hindbrain,1
TCGA-TM-A84S-01,11 week post conception | hindbrain,0.4670070722862235,11 week post conception,hindbrain,1
TCGA-IB-8126-01,school age child | kidney,0.4401247855938918,school age child,kidney,3
TCGA-DJ-A2PQ-01,infant | testis,0.5219461791425826,infant,testis,1
TCGA-KO-8404-01,8 week post conception | testis,0.6580575019011002,8 week post conception,testis,0
TCGA-BH-A0HN-01,8 week post conception | testis,0.714826551973892,8 week post conception,testis,1
TCGA-G9-7522-01,infant | testis,0.5479609634248044,infant,testis,1
TCGA-KL-8342-01,neonate | kidney,0.601078667349454,neonate,kidney,3
TCGA-HT-7691-01,neonate | forebrain,0.4803620359118783,neonate,forebrain,1
TCGA-2G-AAHP-01,12 week post conception | ovary,0.5811609341107467,12 week post conception,ovary,0
TCGA-43-7657-01,5 week post conception | forebrain,0.7935960224366869,5 week post conception,forebrain,0
TCGA-DD-A4NP-01,toddler | liver,0.5561748664329436,toddler,liver,3
TCGA-TQ-A7RK-01,9 week post conception | hindbrain,0.5638927673050984,9 week post conception,hindbrain,1
TCGA-BH-A0DI-01,16 week post conception | testis,0.6685672247646002,16 week post conception,testis,2
TCGA-OR-A5L3-01,young adult | heart,0.704011804709092,young adult,heart,3
TCGA-EU-5907-01,19 week post conception | kidney,0.5986616053570836,19 week post conception,kidney,1
TCGA-CJ-5686-01,19 week post conception | kidney,0.538704023232387,19 week post conception,kidney,1
TCGA-XF-AAN8-01,infant | testis,0.6321256674934237,infant,testis,1
TCGA-DU-7010-01,7 week post conception | hindbrain,0.67280139331815,7 week post conception,hindbrain,2
TCGA-BR-6453-01,middle adult | heart,0.6162306989575785,middle adult,heart,0
TCGA-A6-A567-01,10 week post conception | kidney,0.7418841211594254,10 week post conception,kidney,0
TCGA-55-8207-01,toddler | testis,0.5631031552133035,toddler,testis,1
TCGA-EL-A3GS-01,19 week post conception | kidney,0.52843274103306,19 week post conception,kidney,1
TCGA-EK-A2RM-01,9 week post conception | liver,0.6569954904554338,9 week post conception,liver,0
TCGA-13-0766-01,9 week post conception | liver,0.5580685857026415,9 week post conception,liver,3
TCGA-BH-A42T-01,8 week post conception | liver,0.7119995246698338,8 week post conception,liver,2
TCGA-DU-5855-01,11 week post conception | hindbrain,0.43031047024268954,11 week post conception,hindbrain,1
TCGA-BP-5007-01,toddler | testis,0.5090297007723444,toddler,testis,1
TCGA-BQ-5885-01,toddler | kidney,0.6239959723880546,toddler,kidney,3
TCGA-AR-A1AL-01,16 week post conception | kidney,0.475643102819152,16 week post conception,kidney,2
TCGA-C5-A7X3-01,9 week post conception | liver,0.6392070872910027,9 week post conception,liver,0
TCGA-CV-6933-01,13 week post conception | liver,0.7081867636905541,13 week post conception,liver,0
TCGA-E2-A1LS-01,16 week post conception | heart,0.6354911793797835,16 week post conception,heart,3
TCGA-61-1907-01,10 week post conception | liver,0.746802598992085,10 week post conception,liver,0
TCGA-WB-A80P-01,11 week post conception | hindbrain,0.5752377111182276,11 week post conception,hindbrain,1
TCGA-JX-A3Q8-01,9 week post conception | liver,0.620061099211159,9 week post conception,liver,0
TCGA-G3-AAV7-01,4 week post conception | liver,0.6669114369784037,4 week post conception,liver,2
TCGA-BP-4329-01,toddler | testis,0.5454205037710277,toddler,testis,1
TCGA-SL-A6JA-01,8 week post conception | testis,0.5518979088947993,8 week post conception,testis,0
TCGA-NJ-A55R-01,toddler | kidney,0.7786582465251135,toddler,kidney,1
TCGA-39-5040-01,4 week post conception | hindbrain,0.6808789908180588,4 week post conception,hindbrain,2
TCGA-XK-AAIW-01,4 week post conception | ovary,0.6984732491316996,4 week post conception,ovary,2
TCGA-19-2620-01,neonate | forebrain,0.5553911446199943,neonate,forebrain,1
TCGA-HT-A74K-01,11 week post conception | forebrain,0.5475588916665033,11 week post conception,forebrain,1
TCGA-R6-A8W8-01,16 week post conception | kidney,0.7339869252640023,16 week post conception,kidney,2
TCGA-ET-A39R-01,infant | testis,0.6075456077270622,infant,testis,1
TCGA-GM-A2DA-01,middle adult | heart,0.6926143624059453,middle adult,heart,0
TCGA-O9-A75Z-01,infant | testis,0.47788235415751545,infant,testis,1
TCGA-50-5931-01,7 week post conception | kidney,0.6824842782834889,7 week post conception,kidney,2
TCGA-MS-A51U-01,toddler | testis,0.6118808177923384,toddler,testis,1
TCGA-ZH-A8Y2-01,12 week post conception | kidney,0.7077447678867004,12 week post conception,kidney,2
TCGA-GM-A5PV-01,infant | testis,0.559579931846764,infant,testis,1
TCGA-49-4514-01,9 week post conception | liver,0.5502781224629508,9 week post conception,liver,3
TCGA-ZC-AAAH-01,9 week post conception | liver,0.5500872483874558,9 week post conception,liver,0
TCGA-B8-4148-01,16 week post conception | testis,0.549603648049177,16 week post conception,testis,1
TCGA-CJ-4892-01,infant | testis,0.5062255950275719,infant,testis,1
TCGA-CV-A6K0-01,7 week post conception | heart,0.7210401919037269,7 week post conception,heart,2
TCGA-BH-A1EV-01,16 week post conception | kidney,0.7008147144873758,16 week post conception,kidney,2
TCGA-E7-A85H-01,4 week post conception | kidney,0.6827333838461548,4 week post conception,kidney,0
TCGA-EM-A3FQ-01,infant | testis,0.5178720026394895,infant,testis,1
TCGA-EO-A3B1-01,4 week post conception | kidney,0.5958462820819441,4 week post conception,kidney,2
TCGA-TQ-A7RP-01,neonate | forebrain,0.48156333970979537,neonate,forebrain,1
TCGA-N9-A4Q8-01,5 week post conception | forebrain,0.6054112092478717,5 week post conception,forebrain,0
TCGA-BQ-7060-01,toddler | testis,0.5848062601361701,toddler,testis,1
TCGA-QG-A5Z2-01,8 week post conception | kidney,0.7160738280403629,8 week post conception,kidney,2
TCGA-D7-6817-01,16 week post conception | liver,0.7524827975099242,16 week post conception,liver,2
TCGA-4Z-AA7Q-01,10 week post conception | liver,0.5714340157893578,10 week post conception,liver,0
TCGA-S7-A7WL-01,11 week post conception | hindbrain,0.5336698926935165,11 week post conception,hindbrain,1
TCGA-DX-A1L0-01,7 week post conception | heart,0.7738016821004602,7 week post conception,heart,2
TCGA-S9-A6TZ-01,10 week post conception | hindbrain,0.42728551087159083,10 week post conception,hindbrain,1
TCGA-96-7545-01,16 week post conception | heart,0.5840343028918342,16 week post conception,heart,2
TCGA-E1-A7Z4-01,11 week post conception | hindbrain,0.45183126958514086,11 week post conception,hindbrain,1
TCGA-D8-A13Z-01,4 week post conception | ovary,0.6204512315987141,4 week post conception,ovary,2
TCGA-BH-A1FB-01,16 week post conception | kidney,0.46801349361478606,16 week post conception,kidney,2
TCGA-RW-A684-01,11 week post conception | hindbrain,0.5431254504499929,11 week post conception,hindbrain,1
TCGA-HC-A8D0-01,infant | testis,0.5720317968969242,infant,testis,1
TCGA-30-1718-01,5 week post conception | forebrain,0.6765436296207736,5 week post conception,forebrain,0
TCGA-BB-7862-01,4 week post conception | hindbrain,0.6104975064328848,4 week post conception,hindbrain,2
TCGA-BW-A5NO-01,toddler | liver,0.5598058191849145,toddler,liver,3
TCGA-G3-A25X-01,9 week post conception | liver,0.5205189949425444,9 week post conception,liver,3
TCGA-VQ-A8DU-01,school age child | kidney,0.6598672348855503,school age child,kidney,0
TCGA-56-7580-01,4 week post conception | forebrain,0.5746969170096967,4 week post conception,forebrain,0
TCGA-BP-4975-01,19 week post conception | kidney,0.5829016582406654,19 week post conception,kidney,1
TCGA-IG-A97I-01,5 week post conception | forebrain,0.7226167563988999,5 week post conception,forebrain,2
TCGA-KF-A41W-01,4 week post conception | kidney,0.7502262408784094,4 week post conception,kidney,2
TCGA-HT-8011-01,7 week post conception | forebrain,0.5619149737410561,7 week post conception,forebrain,2
TCGA-CV-7437-01,4 week post conception | hindbrain,0.725160110952187,4 week post conception,hindbrain,0
TCGA-09-0369-01,9 week post conception | forebrain,0.5885539914413059,9 week post conception,forebrain,0
TCGA-ED-A7XP-01,toddler | liver,0.6865990153448284,toddler,liver,3
TCGA-ZF-AA5P-01,neonate | heart,0.6985836807443212,neonate,heart,0
TCGA-PT-A8TR-01,19 week post conception | forebrain,0.7531307275118708,19 week post conception,forebrain,1
TCGA-JY-A93D-01,16 week post conception | heart,0.5567734642767598,16 week post conception,heart,2
TCGA-SC-A6LN-01,8 week post conception | testis,0.6835700677052032,8 week post conception,testis,0
TCGA-FD-A43P-01,4 week post conception | forebrain,0.6190220212925448,4 week post conception,forebrain,2
TCGA-60-2711-01,4 week post conception | forebrain,0.5646665971191438,4 week post conception,forebrain,2
TCGA-DD-A4NE-01,middle adult | liver,0.629036712167196,middle adult,liver,0
TCGA-QQ-A5VC-01,9 week post conception | heart,0.7390631484625275,9 week post conception,heart,0
